N,strike,moneyness,call,put
10,4,0.842105,nan,0.328461
10,4.25,0.894737,nan,0.281036
10,4.5,0.947368,0.198952,0.271212
10,4.75,1,0.187901,0.294403
10,5,1.05263,0.186806,0.328753
10,5.25,1.10526,0.19397,0.394455
10,5.5,1.15789,0.21727,nan
10,5.75,1.21053,0.273003,nan
100,4,0.842105,nan,0.317726
100,4.25,0.894737,nan,0.286465
100,4.5,0.947368,0.195358,0.272175
100,4.75,1,0.184662,0.288261
100,5,1.05263,0.181065,0.336548
100,5.25,1.10526,0.187225,0.385773
100,5.5,1.15789,0.214745,nan
100,5.75,1.21053,0.26712,nan
1000,4,0.842105,nan,0.317848
1000,4.25,0.894737,nan,0.286102
1000,4.5,0.947368,0.195541,0.272831
1000,4.75,1,0.185051,0.287819
1000,5,1.05263,0.181065,0.336042
1000,5.25,1.10526,0.187317,0.386307
1000,5.5,1.15789,0.214508,nan
1000,5.75,1.21053,0.266724,nan
10000,4,0.842105,nan,0.317841
10000,4.25,0.894737,nan,0.286156
10000,4.5,0.947368,0.195515,0.272785
10000,4.75,1,0.185028,0.287815
10000,5,1.05263,0.181011,0.336012
10000,5.25,1.10526,0.187271,0.386349
10000,5.5,1.15789,0.214439,nan
10000,5.75,1.21053,0.266663,nan
100000,4,0.842105,nan,0.317833
100000,4.25,0.894737,nan,0.286152
100000,4.5,0.947368,0.195534,0.272793
100000,4.75,1,0.18504,0.287827
100000,5,1.05263,0.181015,0.336031
100000,5.25,1.10526,0.187263,0.386375
100000,5.5,1.15789,0.214447,nan
100000,5.75,1.21053,0.266655,nan
1000000,4,0.842105,nan,0.317833
1000000,4.25,0.894737,nan,0.286152
1000000,4.5,0.947368,0.195534,0.272793
1000000,4.75,1,0.18504,0.287828
1000000,5,1.05263,0.181015,0.336033
1000000,5.25,1.10526,0.187263,0.386377
1000000,5.5,1.15789,0.214447,nan
