N Sim.,Est.,CI High,Mean,CI Low,CI Width,Var.,Geom. Price,Time,Eff.
1e+02,Crude,44.0150,34.5274,25.0397,18.9753,2343.1900,29.6485,   0.0030,0.00042
1e+03,Crude,31.1410,28.4957,25.8503, 5.2907,1821.5800,29.6485,   0.0293,0.00054
1e+04,Crude,30.4829,29.5768,28.6707, 1.8122,2137.2000,29.6485,   0.2643,0.00046
1e+05,Crude,29.8871,29.5979,29.3086, 0.5785,2178.0300,29.6485,   2.6812,0.00045
1e+06,Crude,29.6936,29.6023,29.5111, 0.1825,2168.0200,29.6485,  26.4982,0.00046
1e+07,Crude,29.6784,29.6495,29.6206, 0.0578,2170.5400,29.6485, 278.1340,0.00046
1e+08,Crude,29.6648,29.6556,29.6465, 0.0183,2170.7400,29.6485,2681.8100,0.00046
1e+02,Anti.,36.1101,29.0803,22.0505,14.0596, 643.1970,29.6485,   0.0019,0.00155
1e+03,Anti.,32.6480,30.4409,28.2338, 4.4142, 634.0000,29.6485,   0.0196,0.00157
1e+04,Anti.,30.2943,29.6012,28.9081, 1.3862, 625.2890,29.6485,   0.1864,0.00159
1e+05,Anti.,29.9877,29.7646,29.5416, 0.4461, 647.7580,29.6485,   1.7436,0.00154
1e+06,Anti.,29.7691,29.6986,29.6281, 0.1410, 646.3250,29.6485,  17.8223,0.00154
1e+07,Anti.,29.6918,29.6695,29.6472, 0.0446, 645.9680,29.6485, 180.3340,0.00154
1e+08,Anti.,29.6613,29.6543,29.6472, 0.0141, 645.4960,29.6485,1764.4300,0.00154
